d	Charles Tag	Categories	Adrien Tag	
we must store and transfer data across our systems around the world, including outside of your country of residence.	data_management	data management	data_management	
We use data from Instagram and other Facebook Company Products, as well as from third-party partners, to show you ads, offers, and other sponsored content that we believe will be meaningful to you	acceptable_consent	acceptable_consent	acceptable_consent	
Providing our Service requires collecting and using your information	personnal_information	personnal information	personnal_information	
We do not claim ownership of your content, but you grant us a license to use it	content_licence	content Licence	content_licence	
you hereby grant to us a non-exclusive, royalty-free, transferable, sub-licensable, worldwide license to host, use, distribute, modify, run, copy, publicly perform or display, translate, and create derivative works of your content	content_licence	content Licence	content_licence	
Our responsibility for anything that happens on the Service (also called "liability") is limited as much as the law will allow.	acceptable_consent	acceptable_consent	acceptable_consent	
You agree that we won't be responsible ("liable") for any lost profits, revenues, information, or data, or consequential, special, indirect, exemplary, punitive, or incidental damages arising out of or related to these Terms, even if we know they are possible.	acceptable_consent	acceptable_consent	acceptable_consent	
If you agree to pay the Host, or Airbnb determines in its sole discretion that you are responsible for the Damage Claim, Airbnb via Airbnb Payments will, after the end of your stay, collect any such sums from you and/or against the Security Deposit (if applicable) required to cover the Damage Claim pursuant to the Payments Terms.	levy_automatic	levy automatic	levy_automatic	
you are responsible for your own acts and omissions and are also responsible for the acts and omissions of any individuals whom you invite	acceptable_consent	acceptable_consent	acceptable_consent	
Members agree to cooperate with and assist in good faith	acceptable_consent	acceptable_consent	acceptable_consent	
A Member shall, upon reasonable request and at no cost to the Member, participate in mediation or a similar resolution process	acceptable_consent	acceptable_consent	acceptable_consent	
This Privacy Policy describes how we collect, use, process, and disclose your information, including personal information, in conjunction with your access to and use of the Platform	acceptable_consent	acceptable_consent	acceptable_consent	
We ask for and collect the following personal information about you	personnal_information	personnal information	personnal_information	
we require certain information such as your first name, last name, email address, and date of birth	personnal_information	personnal information	personnal_information	
we may ask you to provide additional information, which may include your address, phone number, and a profile picture	personnal_information	personnal information	personnal_information	
we may collect identity verification information (such as images of your government issued ID, passport, national ID card, or driving license, as permitted by applicable laws) or other authentication information	personnal_information	personnal information	personnal_information	
we may require you to provide certain financial information (like your bank account or credit card information)	personnal_information	personnal information	personnal_information	
we collect information about your communication and any information you choose to provide	acceptable_consent	acceptable_consent	acceptable_consent	
Some of this information as indicated in your Account settings is part of your public profile page, and will be publicly visible to others.	sharing_data	sharing data	sharing_data	
the Payments Data Controller requires certain financial information (like your bank account or credit card information) in order to process payments and comply with applicable law	personnal_information	personnal information	personnal_information	
the Payments Data Controller may require identity verification information (such as images of your government issued ID, passport, national ID card, or driving license) or other authentication information, your date of birth, your address, email address, phone number and other information in order to verify your identity	personnal_information	personnal information	personnal_information	
When you use the Airbnb Platform and the Payment Services, we automatically collect information, including personal information, about the services you use and how you use them.	personnal_information	personnal information	personnal_information	
we may collect information about your precise or approximate location as determined through data such as your IP address or mobile device GPS	non_personnal_information	non personnal information	non_personnal_information	
We collect information about your interactions with the Airbnb Platform such as the pages or content you view, your searches for Listings, bookings you have made, and other actions on the Airbnb Platform.	acceptable_consent	acceptable_consent	acceptable_consent	
We automatically collect log data and device information when you access and use the Airbnb Platform	non_personnal_information	non personnal information	non_personnal_information	
Airbnb collects information related to your payment transactions through the Airbnb Platform, including the payment instrument used, date and time, payment amount, payment instrument expiration date and billing postcode, PayPal email address, IBAN information, your address and other related transaction details	personnal_information	personnal information	personnal_information	
We use, store, and process information, including personal information, about you to provide, understand, improve, and develop the Airbnb Platform	personnal_information	personnal information	personnal_information	
As a Guest, you are responsible for leaving the Accommodation (including any personal or other property located at the Accommodation) in the condition it was in when you arrived.	acceptable_consent	acceptable_consent	acceptable_consent	
Subject to your compliance with these Terms, Airbnb grants you a limited, non-exclusive, non-sublicensable, revocable, non-transferable license to (i) download and use the Application	acceptable_consent	acceptable_consent	acceptable_consent	
By creating, uploading, posting, sending, receiving, storing, or otherwise making available any Member Content on or through the Airbnb Platform, you grant to Airbnb a non-exclusive, worldwide, royalty-free, irrevocable, perpetual (or for the term of the protection), sub-licensable and transferable license to such Member Content to access, use, store, copy, modify, prepare derivative works of, distribute, publish, transmit, stream, broadcast, and otherwise exploit in any manner such Member Content to provide and/or promote the Airbnb Platform, in any media or platform	content_licence	content Licence	content_licence	
You are solely responsible for all Member Content that you make available on or through the Airbnb Platform	acceptable_consent	acceptable_consent	acceptable_consent	
While we may help facilitate the resolution of disputes, Airbnb has no control over and does not guarantee (i) the existence, quality, safety, suitability, or legality of any Listings or Host Services, (ii) the truth or accuracy of any Listing descriptions, Ratings, Reviews, or other Member Content (as defined below), or (iii) the performance or conduct of any Member or third party	acceptable_consent	acceptable_consent	acceptable_consent	
Turo reserves the right, at our sole discretion, to modify our Services or to modify these Terms at any time.	redflag	red-flag	redflag	
Any use of the Services by anyone under 21 is expressly prohibited.	acceptable_consent	acceptable_consent	acceptable_consent	
When you register for an account with us, we require certain personal information to open your account, such as your name, email address, and password.	personnal_information	personnal information	personnal_information	
Turo may in its sole discretion use third party services to verify the information you provide to us and to obtain additional related information and corrections where applicable, and you hereby authorize Turo to request, receive, use, and store such information.	sharing_data	sharing data	sharing_data	
We do not make any representations about, confirm, or endorse the safety or roadworthiness of any vehicles beyond our policies that require vehicle owners to ensure their vehicles are in safe and operable condition, legally registered to be driven on public roads, have a clean (non-salvaged/non-branded/non-washed/non-written off) title, not subject to any applicable safety recalls, and otherwise satisfy our eligibility requirements.	acceptable_consent	acceptable_consent	acceptable_consent	
When you apply to become an Approved Driver or at any time after where Turo reasonably believes there may be an increased level of risk associated with your Turo Account, you provide Turo with written instructions and authorization in accordance with the Fair Credit Reporting Act, applicable consumer reporting laws, or any similar laws to obtain your personal and/or business auto insurance score, credit report and/or conduct a background check, including a criminal background check where permissible under applicable law.	personnal_information	personnal information	personnal_information	
You agree that you will always use your Turo Account and the Services in compliance with these Terms, applicable law, and any other policies and standards provided to you by Turo.	acceptable_consent	acceptable_consent	acceptable_consent	
As a vehicle owner or host, you commit that you will provide a safe and legally registered and insured vehicle, with a clean (non-salvage/branded/written off) title, in good mechanical condition, on time to the traveler or guest who is an Approved Driver	acceptable_consent	acceptable_consent	acceptable_consent	
you agree that you will not, nor advocate, encourage, request, or assist any third party to Violate any law, including: breach, violate, and/or circumvent any local, state, provincial/territorial, regional, or national law or other law or regulation, or any order of a court, including, without limitation, airport regulations and tax regulations, licensing or registration requirements, or third party rights	acceptable_consent	acceptable_consent	acceptable_consent	
Turo may access, preserve, and disclose any of your information if we are permitted or required to do so by law; if we believe in good faith that it is reasonably necessary to respond to claims asserted against Turo or to comply with permissible legal process (for example, subpoenas or warrants); to enforce or administer these Terms; to do so for fraud prevention, risk assessment, investigation, customer support, product development, and debugging purposes; and/or to protect the rights, property, or safety of Turo, its employees, its users, or members of the public.	acceptable_consent	acceptable_consent	acceptable_consent	
Turo has the right, but not the obligation, to investigate, pursue, and seek to prosecute, litigate, or refer to law enforcement, violations of the Agreement to the fullest extent permissible by the law.	acceptable_consent	acceptable_consent	acceptable_consent	
Turo reserves the right, at any time and without prior notice, in accordance with applicable law, to remove or disable access to any content that Turo, at its sole discretion, considers to be objectionable for any reason, in violation of this Agreement, or otherwise harmful to the Services or our community.	acceptable_consent	acceptable_consent	acceptable_consent	
We may choose to be more lenient with policy enforcement in an effort to do the right thing, subject to our sole and absolute discretion.	acceptable_consent	acceptable_consent	acceptable_consent	
When an issue arises, we may consider the user's performance history and the specific circumstances in applying our Policies. 	acceptable_consent	acceptable_consent	acceptable_consent	
In order to contact you more efficiently, you agree that we may at times contact you using autodialed or prerecorded message calls or text messages at your telephone number(s).	acceptable_consent	acceptable_consent	acceptable_consent	
You authorize Turo and its partners, without further notice or warning and in our discretion, to monitor or record telephone conversations you or anyone acting on your behalf has with Turo or its agents for quality control and training purposes. 	personnal_information	personnal information	personnal_information	
You acknowledge and understand that your communications with Turo may be overheard, monitored, or recorded without further notice or warning. If you do not wish to have your call recorded, please contact us instead in writing through support.turo.com.	sharing_data	sharing data	sharing_data	
We may, in our sole discretion, permit you to post, upload, publish, submit or transmit content through our Services such as photographs of you and your vehicle(s), reviews, feedback, and descriptions of you, your vehicle or trip.	acceptable_consent	acceptable_consent	acceptable_consent	
By making available any content on or through the Services, or through Turo promotional campaigns, you grant Turo a worldwide, irrevocable, perpetual (or for the term of the protection), non-exclusive, transferable, royalty-free license, with the right to sublicense, to use, view, copy, adapt, modify, distribute, transfer, publicly display, publicly perform, transmit, stream, broadcast, access, view, and otherwise exploit such content on, through, by means of, or to promote or market the Services.	content_licence	content Licence	content_licence	
You may discontinue your use of the Services at any time and Turo may terminate your access to the Services and remove any listings for any reason or no reason to the extent permissible under applicable law.	acceptable_consent	acceptable_consent	acceptable_consent	
To the extent permitted by applicable law, you agree to release, defend, indemnify, and hold Turo and its subsidiaries, officers, directors, employees, and agents, harmless from and against any claims, liabilities, damages, losses, and expenses, including, without limitation, reasonable legal and accounting fees, arising out of or in any way connected with your access to or use of the Services or your violation of these Terms; your user content; your interaction with any user, booking of a vehicle, or creation of a listing for a vehicle; or the use, condition, or trip, including but not limited to any injuries, losses, or damages (compensatory, direct, incidental, consequential, or otherwise) of any kind arising in connection with or as a result of a booking, sharing, or use of a vehicle or optional Extra.	acceptable_consent	acceptable_consent	acceptable_consent	
You will pay Turo $5,500 in Liquidated Damages to compensate Turo for any such conduct.	financial_penalties	financial penalties	financial_penalties	
You will be responsible for all of the costs relating to any citations and fines (e.g. tolls, parking tickets, towing fines) incurred during the reservation period.	unknown_extra_cost	unknown extra cost	unknown_extra_cost	
You are responsible for assuring that the product can be lawfully imported to the destination country.	acceptable_consent	acceptable_consent	acceptable_consent	
The recipient of the shipment is the importer of record in the destination country and is responsible for all Import Fees.	unknown_extra_cost	unknown extra cost	unknown_extra_cost	
We use all the information we have-including your information-to try to keep our platform secure.	acceptable_consent	acceptable_consent	acceptable_consent	
We also may share information about misuse or harmful content with other Facebook Companies or law enforcement	sharing_data	sharing data	sharing_data	
Technologies like artificial intelligence and machine learning give us the power to apply complex processes across our Service.	acceptable_consent	acceptable_consent	acceptable_consent	
We use the information we have to study our Service and collaborate with others on research to make our Service better and contribute to the well-being of our community.	acceptable_consent	acceptable_consent	acceptable_consent	
You can't do anything unlawful, misleading, or fraudulent or for an illegal or unauthorized purpose.	acceptable_consent	acceptable_consent	acceptable_consent	
You can't post private or confidential information or do anything that violates someone else's rights, including intellectual property.	acceptable_consent	acceptable_consent	acceptable_consent	
You must obtain written permission from us or under an open source license to modify, create derivative works of, decompile, or otherwise attempt to extract source code from us.	acceptable_consent	acceptable_consent	acceptable_consent	
We collect the content, communications and other information you provide when you use our Products, including when you sign up for an account, create or share content, and message or communicate with others.	personnal_information	personnal information	personnal_information	
We collect information about the people, Pages, accounts, hashtags and groups you are connected to and how you interact with them across our Products, such as people you communicate with the most or groups you are part of	personnal_information	personnal information	personnal_information	
we collect information from and about the computers, phones, connected TVs and other web-connected devices you use that integrate with our Products, and we combine this information across different devices you use.	non_personnal_information	non personnal information	non_personnal_information	
We use the information we have about you-including information about your interests, actions and connections-to select and personalize ads, offers and other sponsored content that we show you.	sharing_data	sharing data	sharing_data	
We may resolve disputes you have with us in connection with our privacy policies and practices through TrustArc	acceptable_consent	acceptable_consent	acceptable_consent	
We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.	sharing_data	sharing data	sharing_data	
We use the information we have (including from research partners we collaborate with) to conduct and support research and innovation on topics of general social welfare, technological advancement, public interest, health and well-being.	acceptable_consent	acceptable_consent	acceptable_consent	
We also allow third parties to place web beacons and other technologies on our site to conduct research and analysis, but we do not provide personal information to such third parties.	acceptable_consent	acceptable_consent	acceptable_consent	
We do not provide any personally identifiable customer information to these advertisers or third-party websites	acceptable_consent	acceptable_consent	acceptable_consent	
Our site includes third-party advertising and links to other websites.	acceptable_consent	acceptable_consent	acceptable_consent	
IMDb also displays personalized third-party advertising based on personal information about users	sharing_data	sharing data	sharing_data	
we may receive information about your location and your mobile device	non_personnal_information	non personnal information	non_personnal_information	
The information we learn from users helps us personalize and continually improve your experience at IMDb.	acceptable_consent	acceptable_consent	acceptable_consent	
Though an email address must be provided in order to post a comment, it is not shared or sold to third parties, and does not appear publicly on the blog.	acceptable_consent	acceptable_consent	acceptable_consent	
This Privacy Policy may be amended from time to time.	acceptable_consent	acceptable_consent	acceptable_consent	
We may access, preserve and disclose personal information if we are required to do so by law	sharing_data	sharing data	sharing_data	
We will not share, sell, rent, swap or authorize any third party to use your email address for commercial purposes without your permission.	acceptable_consent	acceptable_consent	acceptable_consent	
Social media features and widgets are either hosted by a third party or hosted directly on our web site.	acceptable_consent	acceptable_consent	acceptable_consent	
You can disassociate your NYTimes.com registration from third-party accounts any time.	acceptable_consent	acceptable_consent	acceptable_consent	
To enable payment and donations via the NYT Services, we collect and store name, address, telephone number, email address, credit card information and other billing information.	personnal_information	personnal information	personnal_information	
This information will only be shared with third parties who help to complete the purchase transaction.	sharing_data	sharing data	sharing_data	
We contract with other companies to provide services on our behalf, including credit-card and billing processing	sharing_data	sharing data	sharing_data	
We may collect non-personal information about the computer, mobile device or other device you use to access the NYT Services, such as IP address, geolocation information, unique device identifiers, browser type, browser language and other transactional information.	non_personnal_information	non personnal information	non_personnal_information	
The ads in our apps are not targeted to you based on your current GPS location, but they may be targeted to you based on your ZIP code or device's IP address.	non_personnal_information	non personnal information	non_personnal_information	
We automatically collect certain information to help us understand how our users use the Services (which we will refer to in this Privacy Policy collectively as "Usage Data" ).	acceptable_consent	acceptable_consent	acceptable_consent	
you are required to provide certain Personal Information (e.g., your name and e-mail address)	personnal_information	personnal information	personnal_information	
You can visit the Services without telling us who you are or revealing any information by which someone could personally identify you (which we will refer to in this Privacy Policy collectively as "Personal Information" )	acceptable_consent	acceptable_consent	acceptable_consent	
We use your Personal Information to fulfill your requests for products and services, to improve our Services, and to contact you from time to time about us, and our products and services.	acceptable_consent	acceptable_consent	acceptable_consent	
Except as otherwise described in this section of our Privacy Policy, we will never share your Usage Data, Personal Information, Non-Personal Information, or Shared Information (which we will refer to in this Privacy Policy collectively as "User Information") with any third party without your permission.	acceptable_consent	acceptable_consent	acceptable_consent	
From time to time, we may share your Usage Data and Non-Personal Information to enable third parties who serve advertisements on the Services to deliver advertisements that will be relevant to you.	sharing_data	sharing data	sharing_data	
We will not share any aggregated data, however, in manner that would enable the recipient to personally identify you.	acceptable_consent	acceptable_consent	acceptable_consent	
If you identify any User Information as public, you are authorizing us to share such information publicly.	sharing_data	sharing data	sharing_data	
Information about your equipment: for example, the type and version of your device's operating system or web browser, your device ID, and in some instances, your device's location.	non_personnal_information	non personnal information	non_personnal_information	
we collect information that you provide to us such as your name, home address, age, gender, telephone number, e-mail address, payment information (including your credit card number), and/or photos or video footage of you	personnal_information	personnal information	personnal_information	
By submitting Personally Identifiable Information through any of our Covered Sites, you agree to the terms of this privacy policy and you expressly consent to the collection, use and disclosure of your Personally Identifiable Information in accordance with this privacy policy.	sharing_data	sharing data	sharing_data	
"Personally Identifiable Information" is information that we can use to identify or contact you as an individual, and includes your name, email address, address,telephone number and any other information that we associate with any of the foregoing.	personnal_information	personnal information	personnal_information	
If you elect to post material to any blogs, forums, participate in our social networking features or other community boards that may be offered on our Covered Sites, then such materials will be collected and may be publicly available for others to view.	content_licence	content Licence	content_licence	
We may, and may enable our advertisers to, collect your location via certain services we provide through digital applications, wireless access protocol services ("WAP Services")or mobile phone service ("Mobile Services").	non_personnal_information	non personnal information	non_personnal_information	
We utilize third party service providers to provide products, services or functions on our behalf (such as sending emails or processing credit cards or fulfilling subscriptions)	sharing_data	sharing data	sharing_data	
Liquor.com Holdings, Inc. ("Liquor.com") takes very seriously the private nature of your personal information.	acceptable_consent	acceptable_consent	acceptable_consent	
LIQUOR.COM WILL NOT DISCLOSE YOUR PERSONAL INFORMATION TO ANY THIRD PARTY WITHOUT YOUR CONSENT, EXCEPT TO A THIRD PARTY AS REQUIRED TO HELP US DISTRIBUTE OUR EMAIL PUBLICATION.	acceptable_consent	acceptable_consent	acceptable_consent	
Liquor.com does not collect any other personal information that you do not expressly provide.	acceptable_consent	acceptable_consent	acceptable_consent	
We may also request non-personally identifiable information, for example, annual income, buying preferences, and age.	personnal_information	personnal information	personnal_information	
When you register, we may collect personally identifying information, including your name, postal address, email address, user name and password, reminder questions and answers and communications preferences, such as which newsletters you would like to receive.	personnal_information	personnal information	personnal_information	
We may also ask for information about your age, gender, hobbies, interests, preferences (such as your favorite foods, purchases or recipes) and the like, but you're free to register for most of our Services without providing this additional information.	acceptable_consent	acceptable_consent	acceptable_consent	
With your consent, we also may use precise geolocation technology such as GPS or Wi-Fi triangulation to collect information about the exact location of your mobile device.	non_personnal_information	non personnal information	non_personnal_information	
We also contract with other companies to provide specialized services to us, including but not limited to credit-card and billing processing, shipping, marketing, email and text message distribution, data processing, mobile and website analytics and promotions management.	sharing_data	sharing data	sharing_data	
You provide us information about yourself, such as your name and email address, when you register with the Service.	personnal_information	personnal information	personnal_information	
We may share non-personally identifiable information (such as anonymous usage data, referring/exit pages and URLs, platform types, number of clicks, etc.) with interested third parties to help them understand the usage patterns for certain Company services.	sharing_data	sharing data	sharing_data	
At times, we make customer mailing lists available to carefully screened companies whose products or services might interest individuals who have shopped on the Site.	sharing_data	sharing data	sharing_data	
We use non-personally identifiable information, such as IP addresses or demographic information (zip codes for example) to tailor our Site to the interests/locations of our users and to measure traffic within our Site.	non_personnal_information	non personnal information	non_personnal_information	
If a visitor chooses to make a donation or order such other products or services, PBS will collect and store your telephone number, e-mail address, billing address and credit card information.	personnal_information	personnal information	personnal_information	
NOTMC and its agents may collect some information that identifies you or relates to you as an individual ("Personal Information"), such as your name, mailing address, telephone number, e-mail address, user name and password (for account administration), device ID, including IP address, geolocation (if using a mobile application and you consent to providing it), and additional personal information necessary for the administration of certain promotional events.	personnal_information	personnal information	personnal_information	
As a result of those actions, you might supply us with such information as your name, address, and phone numbers; credit card information; people to whom purchases have been shipped, including addresses and phone number; people (with addresses and phone numbers) listed in 1-Click settings; e-mail addresses of your friends and other people; content of reviews and e-mails to us; personal description and photograph in Your Profile ; and financial information, including Social Security and driver's license numbers.	personnal_information	personnal information	personnal_information	
The types of personally identifiable information that may be collected at these pages and elsewhere include but are not limited to: name, address, gender, e-mail address, telephone number, fax number and credit or debit card information.	personnal_information	personnal information	personnal_information	
You can contact us online or by mail at:	acceptable_consent	acceptable_consent	acceptable_consent	
Information we obtain from these devices includes:	acceptable_consent	acceptable_consent	acceptable_consent	
You can contact TrustArc through its website.	acceptable_consent	acceptable_consent	acceptable_consent	
For owners in Canada, these additional terms apply during the reservation period.	acceptable_consent	acceptable_consent	acceptable_consent	
Turo will cover the cost of any FairClaims arbitration fees for you.	acceptable_consent	acceptable_consent	acceptable_consent	
You acknowledge that the actual damages likely to result from breach of this Section are difficult to estimate and would be difficult for Turo to prove.	acceptable_consent	acceptable_consent	acceptable_consent	
Standard telephone minute and text and data charges may apply.	acceptable_consent	acceptable_consent	acceptable_consent	
Turo may, but does not commit to, undertake efforts to ensure the safety of vehicles shared through the Services.	acceptable_consent	acceptable_consent	acceptable_consent	
We respond to notices of alleged copyright infringement and terminate Turo Accounts of repeat infringers according to the process set out in the US Digital Millennium Copyright Act and similar laws.	acceptable_consent	acceptable_consent	acceptable_consent	
It does not own a fleet of vehicles, and is not, in the business of renting vehicles to the public.	acceptable_consent	acceptable_consent	acceptable_consent	
Most hosts offering vehicles for sharing on the Services cannot offer commercial liability insurance to you.	acceptable_consent	acceptable_consent	acceptable_consent	
If you are instructed by Turo to file a police report, you must do so within 24 hours of receiving those instructions.	acceptable_consent	acceptable_consent	acceptable_consent	
You are fully responsible for paying any damage to the vehicle, subject to the protection plan you selected, as well as deductibles, contribution, fees, expenses, liens, or fines arising out of your use of a vehicle booked through Turo.	unknown_extra_cost	unknown extra cost	unknown_extra_cost	
Each owner is responsible for complying with all legal requirements (including ensuring the vehicle is registered and insured) and maintaining their vehicle(s) in safe and roadworthy condition.	acceptable_consent	acceptable_consent	acceptable_consent	
Turo may, but does not commit to, undertake efforts to ensure the safety of vehicles booked through the Services.	acceptable_consent	acceptable_consent	acceptable_consent	
Please provide your name, telephone number, email, mailing address, and briefly describe both the nature of your dispute and the relief you would like from Turo.	acceptable_consent	acceptable_consent	acceptable_consent	
Specifically with respect to your contact information, Turo may deliver notices to you at the most recent email, telephone, or address provided by you, and those notices will be considered valid even if you no longer maintain the email account, telephone number, or receive mail at that address unless you provide updated contact information to us.	personnal_information	personnal information	personnal_information	
In the United States, any insurance included in a protection plan is provided through Turo Insurance Agency, an Arizona insurance producer.	acceptable_consent	acceptable_consent	acceptable_consent	
Turo can be contacted at the these addresses	acceptable_consent	acceptable_consent	acceptable_consent	
By booking a vehicle where the Commercial Host is providing protection, you agree that the vehicle owner may impose additional terms and fees after booking.	unknown_extra_cost	unknown extra cost	unknown_extra_cost	
Turo will pay you the amount collected from those who book your vehicle, less the applicable fees payable to Turo.	acceptable_consent	acceptable_consent	acceptable_consent	
To promote the Airbnb Platform and to increase the exposure of Listings to potential Guests, Listings and other Member Content may be displayed on other websites, in applications, within emails, and in online and offline advertisements.	content_licence	content Licence	content_licence	
Thank you for using Airbnb!	acceptable_consent	acceptable_consent	acceptable_consent	
If your country of residence is outside of the United States, this provision applies to any action you bring against Airbnb in the United States.	acceptable_consent	acceptable_consent	acceptable_consent	
You may appeal such a decision by contacting customer service.	acceptable_consent	acceptable_consent	acceptable_consent	
In certain circumstances, Airbnb may decide, in its sole discretion, that it is necessary to cancel a pending or confirmed booking and initiate corresponding refunds and payouts.	acceptable_consent	acceptable_consent	acceptable_consent	
You agree to pay the Total Fees for any booking requested in connection with your Airbnb Account.	acceptable_consent	acceptable_consent	acceptable_consent	
The foregoing disclaimers apply to the maximum extent permitted by law.	acceptable_consent	acceptable_consent	acceptable_consent	
Such license shall apply with respect to any form, media, or technology now known or later developed.	acceptable_consent	acceptable_consent	acceptable_consent	
BNN, CP24, CTV, CTV TWO, Much, MuchMusic and The Comedy Network, and all associated designs and logos are trademarks of Bell Media Inc.	acceptable_consent	acceptable_consent	acceptable_consent	
In the event that material is uploaded without permission, all uploaded material will be removed immediately and without notice to you.	acceptable_consent	acceptable_consent	acceptable_consent	
We are committed to maintaining the accuracy, confidentiality, security and privacy of your information.	acceptable_consent	acceptable_consent	acceptable_consent	
We provide this list at no cost.	acceptable_consent	acceptable_consent	acceptable_consent	
Please note that we may send you one message to confirm you want to opt out.	acceptable_consent	acceptable_consent	acceptable_consent	
See Section 5 for choices about storage of your information.	data_management	data management	data_management	
Examples of the information you provide are: name, email address, mailing address, phone number, billing information, or electronic signature.	personnal_information	personnal information	personnal_information	
For example, if you send an envelope to others for review or signature, we make the contents of the envelope available to them.	acceptable_consent	acceptable_consent	acceptable_consent	
Customer, through its Account Administrator(s), may retrieve and store copies of eDocuments for storage outside of the System at any time during the Subscription Term when Customer is in good financial standing under these Terms, and may delete or purge eDocuments from the System at its own discretion.	acceptable_consent	acceptable_consent	acceptable_consent	
Customer may retrieve its stored eDocuments at any time during the Term.	acceptable_consent	acceptable_consent	acceptable_consent	
Customer shall be responsible for and bear Taxes associated with its purchase of, payment for, access to or use of the DocuSign Services.	unknown_extra_cost	unknown extra cost	unknown_extra_cost	
By agreeing to Instagram's terms, you agree that you can only bring any claim against them on your own behalf.	acceptable_consent	acceptable_consent	acceptable_consent	
You waive your right to being part of a class action	acceptable_consent	acceptable_consent	acceptable_consent	
Delicious may sell, transfer or otherwise share some or all of its assets, including your Personal Information, in connection with a merger, acquisition, reorganization or sale of assets or in the event of bankruptcy.	sharing_data	sharing data	sharing_data	
The user grants Youtube a worldwide, non-exclusive, royalty-free license that is sublicenseable and transferable, and that can be used without limitation for the promotion of the service, in any media format and through any media channel, provided it is in connection with Youtube, its successors' and affiliates'	content_licence	content Licence	content_licence	
The copyright license you grant to 500px is transferable and sublicensable.	content_licence	content Licence	content_licence	
If you do post content or submit material, and unless we indicate otherwise, you grant Amazon a nonexclusive, royalty-free, perpetual, irrevocable, and fully sublicensable right to use, reproduce, modify, adapt, publish, translate, create derivative works from, distribute, and display such content throughout the world in any media.	content_licence	content Licence	content_licence	
If you post Member Content to our Services, you hereby grant us a perpetual, worldwide, irrevocable, non-exclusive, royalty-free and fully sublicensable license to use, reproduce, display, perform, adapt, modify, create derivative works from, distribute, have distributed and promote such Member Content in any form, in all media now known or hereinafter created and for any purpose, including without limitation the right to use your name, likeness, voice or identity	content_licence	content Licence	content_licence	
The individual who accepts these terms and conditions, must be aged 18 years or older.	acceptable_consent	acceptable_consent	acceptable_consent	
After the Initial Term, the Services will, unless otherwise specified in the Service Description for a particular Service, automatically renew for additional 12-month periods (“Renewal Terms”), unless either party provides notice of non-renewal at least 30 days before the current term expires.	enrollment	enrollment	enrollment	
LastPass will have no obligation to provide a refund of any amounts previously paid.	refund	refund	refund	
You agree to the personal jurisdiction by and venue in the state and federal courts in Santa Clara County, California.	acceptable_consent	acceptable_consent	acceptable_consent	
The Court of Santa Barbara in California is the only one competent for disputes arising from the terms of service of Youtube.	acceptable_consent	acceptable_consent	acceptable_consent	
